Rating,Address,ReviewDate,Description,Cleaned_Description,BERT_Sentiment_Label,BERT_Sentiment_Score,,,,
1,"7891 Lion St, Rancho Cucamonga, CA 91730",2018-11-29,"The experience with this agent is terrible. I do not feel like she represents me. All she represent is herself who wants a quick commission without adequate effort. Her knowledge, expertise, negotiation skills are so poor. There was a property line dispute but she told me no any problem in that property. After escrow was closed and the neighbor approached me and we found out. But even at that point, she just wanted to protect herself without providing any help to us. She never felt any sorry. Instead she pointed the finger to me and said I should review documents or contact the related persons by myself. In fact, I spent lots of hours to work on the problem. I do not know since I did anything, why I needed her at the beginning. I won't recommend anybody to her.",experience agent terrible feel like represent represent want quick commission adequate effort knowledge expertise negotiation skill poor property line dispute tell problem property escrow close neighbor approach find point want protect provide help feel sorry instead point finger say review document contact related person fact spend lot hour work problem know need beginning will recommend anybody,NEGATIVE,0.996890366077423,,,,
1,"840 E Green St #224 Grant Park - Pasadena, CA 91101",2018-09-26,Had a horrible experience working with Brian. He didn't have any insight into the market and the offer that he directed us to put on the property that we were interested in was 25 K above what the property eventually sold for. He cut down on contingency terms and also was not able to negotiate after inspection was done. He just didn't care and wanted to close a deal. Never work with him.,horrible experience work brian insight market offer direct property interested 25 k property eventually sell cut contingency term able negotiate inspection care want close deal work,NEGATIVE,0.998836100101471,,,,
1,"4817 Parker Ave, Sacramento, CA 95820",2020-07-02,"Very personable and bubbly. Unfortunately, when I hired her to help me buy my first home, she did not competently represent me by failing to relay information, forgetting to have me sign forms and not following my ask to request a seller credit for structural issues uncovered in the inspection. Great attitude and spirit but unfortunately not the Calibur of agent a first time buyer needs to help navigate a very complex and overwhelming process successfully.",personable bubbly unfortunately hire help buy home competently represent fail relay information forget sign form follow ask request seller credit structural issue uncover inspection great attitude spirit unfortunately calibur agent time buyer need help navigate complex overwhelming process successfully,POSITIVE,0.845222890377045,,,,
1,"2266 Caminito Pescado UNIT 26, San Diego, CA 92107",2016-12-19,"Natalie convinced my husband and I to allow her to present our ""offer"" to the owners of a home she had listed. Against our better judgment we allowed her to represent us, as well as the seller. She was unprofessional and dishonest in the handling of our transaction. She insisted that she was ""doing everything she could"" to ""make it work."" The transaction (thankfully) did not go through, as we would have likely been severely further prejudiced by having Natalie represent us. Thankfully we found an honest and amazing agent to work with after this terrible experience!",natalie convince husband allow present offer owner home list well judgment allow represent seller unprofessional dishonest handling transaction insist work transaction thankfully likely severely prejudice have natalie represent thankfully find honest amazing agent work terrible experience,NEGATIVE,0.992447376251221,,,,
1,"659 Weng Star St, Beaumont, CA 92223",2016-01-05,After we decided on the home we wanted to purchase she completely pushed us to the side. As first time home buyers we felt neglected and uncared for. She was always too busy with other clients. Difficult to contact and took days to respond back even though when we first met she promised she would be available anytime. It's unfortunate she got a commission from our home purchase. It's pathetic that we got the keys to our first home from the lock box!!! Didn't make an effort to make this a memorable experience for us. Never saw or heard from her again. WOULD NEVER RECOMMEND HER OR DO BUSINESS WITH HER AGAIN.,decide home want purchase completely push time home buyer feel neglect uncare busy client difficult contact take day respond meet promise available anytime unfortunate get commission home purchase pathetic get key home lock box effort memorable experience see hear recommend business,POSITIVE,0.641303420066834,,,,
1,"33252 Alagon St, Temecula, CA 92592",2016-05-06,"John Lewis left me in the rain literally.... I will explain exactly my first time home buyers experience.  Back in 2008 I went to look for my first new home.  You know that feeling if you bought before, and even if you had not bought you dream what the experience will be like... Like a Cinderella feeling going to a ball, the American Dream. I was a dream loan candidate no debt and a VA loan all ready so all we had to do was pick out the home.  Sadly though we wanted San Diego the town we were looking at was a bit out of our price range, but the realtor was very nice and showed us some great homes.  We were looking for a bit more for a bit less cost.  Temecula was our second choice.  We didn't have a realtor in Temecula and we saw this office.  It wasn't busy at all, no clients that we could see at the time and we were met by John Lewis.  We looked for a bit online and found a few prospects.  All were foreclosures though at the time weren't most? We looked at them in person found one that was ok and decided let's put an offer in. This is where he only has his own best interest and if your a first time home buyer he will not look out for you.  My fault for not knowing what I was getting in to buy a warning for ANY first time buyer as he will take advantage of you.He said well if you want to make an offer its good to put a little bit over asking price to let them know your a serious buyer.  He paused and said you don't know how many other people have offers on the home and you can loose it.  Back in 2008 I didn't know about Zillow or any other web based programs to show homes on the market.  John showed us his MLS but didn't show us or tell us about facts on the home.  One that it was on the market for a very long time,  almost a year.  That the price has dropped and he wants us to come in over.  Sure he does, more profit for him.Once we put in our offer over asking price he said I know you have a VA loan but let me send you to my friend she can write up a better loan for you.  Again my fault as I should have done a bit more homework. After this he was non-existent.So we bought the home, called John and asked how do we get the keys.  He stated they are at your front door just go to your new home.  It's pouring raining and we drive to the home and look everywhere for the keys.  We're soaking wet, called him again and he said they should be right there... Finally he says, I'll be there in 20 minutes I have them right here.  After making a great deal of money for just hours of work on us as a client this is how he treats us?Please if your a first time home buyer he does NOT have your best interest at heart.  I have been much wiser and met many other realtors since then that will earn their commission not try to just get a sell.  Last thing he said was if you send xxxx clients to me and they buy a home we will send you and your wife on a vacation.  Since then I had 23 other friends buy a home and I recommended 0 to John.  They all had very pleasant home buying experiences and are very happy with their purchase.  Stay clear from this place they do not have to customers interest at heart.  My first time home buying experience was a nightmare.  Every time I had a question about my purchase after I accepted the purchase he was not there for me and I had to fend for my self.  Don't use his ""friend"" who does loans either.  There are fair and good loan brokers who will tell you up front the truth.  Stay clear.",john lewis leave rain literally explain exactly time home buyer experience 2008 go look new home know feeling buy buy dream experience like like cinderella feel go ball american dream dream loan candidate debt va loan ready pick home sadly want san diego town look bit price range realtor nice show great home look bit bit cost temecula second choice realtor temecula see office busy client time meet john lewis look bit online find prospect foreclosure time look person find ok decide let offer good interest time home buyer look fault know get buy warning time buyer advantage say want offer good little bit ask price let know buyer pause say know people offer home loose 2008 know zillow web base program home market john show mls tell fact home market long time year price drop want come sure profit offer ask price say know va loan let send friend write well loan fault bit homework buy home call john ask key state door new home pour raining drive home look key soak wet call say right finally say 20 minute right make great deal money hour work client treat time home buyer good interest heart wise meet realtor earn commission try sell thing say send xxxx client buy home send wife vacation 23 friend buy home recommend 0 john pleasant home buying experience happy purchase stay clear place customer interest heart time home buying experience nightmare time question purchase accept purchase fend self use friend loan fair good loan broker tell truth stay clear,NEGATIVE,0.965196192264557,,,,
2,"7537 El Paso St La Mesa, CA 91942",2023-01-31,"Patrick was good at facilitating a deal. He was able to open doors, setup viewings and pass information to the seller’s agent. He is good to get you through a deal if YOU find your property you want and if budget is not a factor to you. I would not recommend him if you don’t have time to find a property and need someone to fight for the property you want. My significant other and I found the bulk of the properties we toured. He provided us some properties based on our search criteria (AFTER we insisted he do it for us - as that is what realtors get paid for) and after looking at a few of them with him we opted to find them ourselves. Algorithms and search filters on Redfin and Zillow proved to be a more powerful tool than what he had to offer. When it came time to closing the deal, he fought with us (the buyer) during critical steps of the negotiation phase mentioning that the seller wouldn’t go that low, that they wouldn’t repair a roof, or whatever else that would create more friction for the seller and him. For those looking to buy a home, typically the realtor doesn’t want the price to go lower because it lowers their commission and causes them more work. After telling him to provide our information to the seller and giving him the reasons why the selling price eventually went for almost 100k less than the original purchasing price. Providing the information took a lot of due diligence from the BUYERS’ time which meant looking at comps and the details of the price of the house was not reasonable, market conditions, and calling contractors to assess the condition of the property, etc.People are busy enough with life, work, family, and activities. A realtor should be able to do the necessary leg work to find you potential homes, work to get to the price you believe in/market fit, work to get any repairs if necessary, and most importantly not add any more stress to an already stressful situation. For potential buyers in the market, find yourself a realtor that will WORK for you, not try to normalize not working.",patrick good facilitate deal able open door setup viewing pass information seller agent good deal find property want budget factor recommend time find property need fight property want significant find bulk property tour provide property base search criterion insist realtor pay look opt find algorithm search filter redfin zillow prove powerful tool offer come time close deal fight buyer critical step negotiation phase mention seller low repair roof create friction seller look buy home typically realtor want price low lower commission cause work tell provide information seller give reason selling price eventually go original purchasing price provide information take lot diligence buyer time mean look comp detail price house reasonable market condition call contractor assess condition property busy life work family activity realtor able necessary leg work find potential home work price believe market fit work repair necessary importantly add stress stressful situation potential buyer market find realtor work try normalize work,NEGATIVE,0.902384221553803,,,,
3,"706 W Hacienda Dr, Corona, CA 92882",2020-01-13,We were very disappointed in our overall experience with Julie. She was all very friendly through the process but once we signed papers we never heard from her again except to tell us where the keys were. So disappointing that a realtor just looks at you as a $ sign. Not even a thank you for your business card when everything was complete. A good commission for her right before Christmas and couldn't even take the time to do that.,disappointed overall experience julie friendly process sign paper hear tell key disappointing realtor look sign thank business card complete good commission right christmas time,POSITIVE,0.951735258102417,,,,
4,"5420 La Jolla Blvd #B204, La Jolla, CA 92037",2020-08-06,"Linda is very knowledgeable and experienced. Despite the fact that I had bought many homes in the past, she guided me every step of the way. Her follow up was impeccable. She is a consummate professional. Always going above and beyond the call of duty. I would highly recommend anyone looking for an exceptional realtor. And this review doesn’t even begin to do her justice.",linda knowledgeable experienced despite fact buy home past guide step way follow impeccable consummate professional go duty highly recommend look exceptional realtor review begin justice,POSITIVE,0.999201476573944,,,,
4,"1408 Waterfall Ln, Bakersfield, CA 93311",2019-01-06,When I first met Angel I knew she was going to be fun to work with! What my husband and I really liked about Angel was she was always in communication with us. If I had a question she was quick to give me helpful answers. She also took us to see lots of homes that fit our criteria! We were so thankful when we found our home that Angel was there to close the deal! She made to process real easy for us first time home buyers. I highly recommend working with the BEST!,meet angel know go fun work husband like angel communication question quick helpful answer take lot home fit criterion thankful find home angel close deal process real easy time home buyer highly recommend work good,POSITIVE,0.999358117580414,,,,
